Movie Name,Genre,Ratings,Votes,Duration
Freaky Tales,Action,6.2,18000,107.0
The Unholy Trinity,Action,5.5,6800,95.0
40 Acres,Action,6.5,7000,113.0
The Fix,Action,4.7,2400,98.0
William Tell,Action,5.7,7700,134.0
Cash Out,Action,4.8,3800,92.0
Gladiator II,Action Epic,6.4,297000,148.0
Dune: Part Two,Action Epic,8.4,742000,166.0
Deadpool & Wolverine,Action Epic,7.5,568000,128.0
Road House,Action Epic,6.2,185000,121.0
Furiosa: A Mad Max Saga,Action Epic,7.5,320000,148.0
Godzilla X Kong: The New Empire,Action Epic,6.0,135000,115.0
Transformers One,Action Epic,7.6,65000,104.0
Bad Boys: Ride or Die,Action Epic,6.5,114000,115.0
Kingdom of the Planet of the Apes,Action Epic,6.8,169000,145.0
Atlas,Action Epic,5.7,60000,118.0
Rebel Moon - Part Two: The Scargiver,Action Epic,5.3,64000,122.0
Better Man,Adult Animation,7.5,46000,135.0
Damsel,Adult Animation,6.1,119000,110.0
Spaceman,Adult Animation,5.7,47000,107.0
Memoir of a Snail,Adult Animation,7.8,25000,95.0
Uglies,Adult Animation,4.7,37000,100.0
Descendants: The Rise of Red,Adventure Epic,4.7,8300,95.0
Alien: Romulus,Alien Invasion,7.1,287000,119.0
Venom: The Last Dance,Alien Invasion,6.0,156000,110.0
A Quiet Place: Day One,Alien Invasion,6.3,176000,99.0
Elevation,Alien Invasion,5.6,31000,91.0
The Wild Robot,Animal Adventure,8.2,223000,102.0
Sonic the Hedgehog 3,Animal Adventure,6.9,80000,110.0
Flow,Animal Adventure,7.8,129000,85.0
Kung Fu Panda 4,Animal Adventure,6.3,82000,94.0
Mufasa: The Lion King,Animal Adventure,6.6,82000,118.0
Paddington in Peru,Animal Adventure,6.6,35000,106.0
The Garfield Movie,Animal Adventure,5.7,28000,101.0
Wallace & Gromit: Vengeance Most Fowl,Animal Adventure,7.5,42000,82.0
I Was a Stranger,Arabic,8.3,12000,103.0
Ghost Trail,Arabic,6.6,1400,106.0
No Other Land,Arabic,8.2,37000,92.0
Subservience,Artificial Intelligence,5.4,36000,106.0
Y2K,Artificial Intelligence,4.7,21000,91.0
Riff Raff,B-Action,5.7,8900,103.0
