Movie Name,Genre,Ratings,Votes,Duration
Gladiator II,Action Epic,6.4,297000,148.0
Dune: Part Two,Action Epic,8.4,742000,166.0
Deadpool & Wolverine,Action Epic,7.5,568000,128.0
Road House,Action Epic,6.2,185000,121.0
Furiosa: A Mad Max Saga,Action Epic,7.5,320000,148.0
Godzilla X Kong: The New Empire,Action Epic,6.0,135000,115.0
Transformers One,Action Epic,7.6,65000,104.0
Bad Boys: Ride or Die,Action Epic,6.5,114000,115.0
Kingdom of the Planet of the Apes,Action Epic,6.8,169000,145.0
Atlas,Action Epic,5.7,60000,118.0
Rebel Moon - Part Two: The Scargiver,Action Epic,5.3,64000,122.0
