Movie Name,Genre,Ratings,Votes,Duration
The Substance,Body Horror,7.2,422000,141.0
Longlegs,Body Horror,6.5,224000,101.0
Smile 2,Body Horror,6.7,142000,127.0
Beetlejuice Beetlejuice,Body Horror,6.6,174000,105.0
Strange Harvest,Body Horror,6.3,6300,94.0
I Saw the TV Glow,Body Horror,5.8,45000,100.0
The First Omen,Body Horror,6.5,71000,119.0
Immaculate,Body Horror,5.8,61000,89.0
Nightbitch,Body Horror,5.5,25000,99.0
In a Violent Nature,Body Horror,5.5,31000,94.0
Frewaka,Body Horror,6.1,3200,103.0
The Damned,Body Horror,5.7,9000,89.0
The Shrouds,Body Horror,5.7,9100,120.0
Hellboy: The Crooked Man,Body Horror,4.5,18000,99.0
