Movie Name,Genre,Ratings,Votes,Duration
Inside Out 2,Coming-of-Age,7.5,250000,96.0
Here,Coming-of-Age,6.3,28000,104.0
My Old Ass,Coming-of-Age,6.9,47000,89.0
Turtles All the Way Down,Coming-of-Age,6.6,8900,111.0
The Forge,Coming-of-Age,6.8,6100,124.0
Bird,Coming-of-Age,7.0,13000,119.0
Suncoast,Coming-of-Age,6.7,8300,109.0
Winter Spring Summer or Fall,Coming-of-Age,6.1,6000,97.0
Girls Will Be Girls,Coming-of-Age,7.0,3500,118.0
Bob Trevino Likes It,Coming-of-Age,7.4,7700,101.0
Nickel Boys,Coming-of-Age,6.9,24000,140.0
Lisa Frankenstein,Coming-of-Age,6.1,32000,101.0
