Movie Name,Genre,Ratings,Votes,Duration
Anora,Dark Comedy,7.4,274000,139.0
Bone Lake,Dark Comedy,5.6,14000,94.0
Abigail,Dark Comedy,6.5,119000,109.0
Krazy House,Dark Comedy,4.8,1700,89.0
Kinds of Kindness,Dark Comedy,6.4,72000,164.0
Friendship,Dark Comedy,6.6,40000,100.0
It's What's Inside,Dark Comedy,6.6,51000,103.0
The Luckiest Man in America,Dark Comedy,6.2,8200,91.0
Get Away,Dark Comedy,5.3,11000,86.0
Sketch,Dark Comedy,6.6,6200,93.0
Brothers,Dark Comedy,5.4,15000,89.0
Ketchup on Waffles,Dark Comedy,7.8,20,81.0
