Movie Name,Genre,Ratings,Votes,Duration
"Husband, Father, Killer: The Alyssa Pladl Story",Unknown,6.0,822,87.0
Afraid,Unknown,5.2,17000,84.0
River of Blood,Unknown,4.6,3100,86.0
What Happened to Dorothy Bell?,Unknown,5.2,236,80.0
Under Paris,Unknown,5.2,40000,104.0
Megalopolis,Unknown,4.7,42000,138.0
The Salt Path,Unknown,6.6,7000,115.0
Fight or Flight,Unknown,6.4,27000,102.0
Horizon: An American Saga - Chapter 1,Unknown,6.6,45000,181.0
The Lord of the Rings: The War of the Rohirrim,Unknown,6.3,40000,134.0
The 4:30 Movie,Unknown,6.0,4700,87.0
A Different Man,Unknown,6.9,38000,112.0
Borderlands,Unknown,4.7,58000,101.0
Homestead,Unknown,5.2,5400,112.0
Presence,Unknown,6.1,43000,84.0
The Strangers: Chapter 1,Unknown,4.7,29000,91.0
Lick,Unknown,6.1,1400,75.0
The Assessment,Unknown,6.6,23000,114.0
Terrifier 3,Unknown,6.2,63000,125.0
Thelma,Unknown,7.0,29000,98.0
Kneecap,Unknown,7.6,25000,105.0
All of You,Unknown,6.3,9500,98.0
The Penguin Lessons,Unknown,7.1,12000,111.0
Miller's Girl,Unknown,5.2,27000,93.0
Tarot,Unknown,4.8,39000,92.0
Vaazha: Biopic of a Billion Boys,Unknown,7.3,6400,125.0
Survive,Unknown,4.6,4700,90.0
Monkey Man,Unknown,6.8,100000,121.0
Cuckoo,Unknown,5.7,34000,102.0
Kishkindha Kaandam,Unknown,8.0,16000,133.0
The Return,Unknown,6.3,14000,116.0
Shell,Unknown,4.9,4100,100.0
