Movie Name,Genre,Ratings,Votes,Duration
Gladiator II,Action Epic,6.4,297000,2h 28m
Dune: Part Two,Action Epic,8.4,742000,2h 46m
Deadpool & Wolverine,Action Epic,7.5,568000,2h 8m
Road House,Action Epic,6.2,185000,2h 1m
Furiosa: A Mad Max Saga,Action Epic,7.5,320000,2h 28m
Godzilla X Kong: The New Empire,Action Epic,6.0,135000,1h 55m
Transformers One,Action Epic,7.6,65000,1h 44m
Bad Boys: Ride or Die,Action Epic,6.5,114000,1h 55m
Kingdom of the Planet of the Apes,Action Epic,6.8,169000,2h 25m
Atlas,Action Epic,5.7,60000,1h 58m
Rebel Moon - Part Two: The Scargiver,Action Epic,5.3,64000,2h 2m
