Movie Name,Genre,Ratings,Votes,Duration
The Substance,Body Horror,7.2,422000,2h 21m
Longlegs,Body Horror,6.5,224000,1h 41m
Smile 2,Body Horror,6.7,142000,2h 7m
Beetlejuice Beetlejuice,Body Horror,6.6,174000,1h 45m
Strange Harvest,Body Horror,6.3,6300,1h 34m
I Saw the TV Glow,Body Horror,5.8,45000,1h 40m
The First Omen,Body Horror,6.5,71000,1h 59m
Immaculate,Body Horror,5.8,61000,1h 29m
Nightbitch,Body Horror,5.5,25000,1h 39m
In a Violent Nature,Body Horror,5.5,31000,1h 34m
Frewaka,Body Horror,6.1,3200,1h 43m
The Damned,Body Horror,5.7,9000,1h 29m
The Shrouds,Body Horror,5.7,9100,2h
Hellboy: The Crooked Man,Body Horror,4.5,18000,1h 39m
