Movie Name,Genre,Ratings,Votes,Duration
Inside Out 2,Coming-of-Age,7.5,250000,1h 36m
Here,Coming-of-Age,6.3,28000,1h 44m
My Old Ass,Coming-of-Age,6.9,47000,1h 29m
Turtles All the Way Down,Coming-of-Age,6.6,8900,1h 51m
The Forge,Coming-of-Age,6.8,6100,2h 4m
Bird,Coming-of-Age,7.0,13000,1h 59m
Suncoast,Coming-of-Age,6.7,8300,1h 49m
Winter Spring Summer or Fall,Coming-of-Age,6.1,6000,1h 37m
Girls Will Be Girls,Coming-of-Age,7.0,3500,1h 58m
Bob Trevino Likes It,Coming-of-Age,7.4,7700,1h 41m
Nickel Boys,Coming-of-Age,6.9,24000,2h 20m
Lisa Frankenstein,Coming-of-Age,6.1,32000,1h 41m
