Movie Name,Genre,Ratings,Votes,Duration
Anora,Dark Comedy,7.4,274000,2h 19m
Bone Lake,Dark Comedy,5.6,14000,1h 34m
Abigail,Dark Comedy,6.5,119000,1h 49m
Krazy House,Dark Comedy,4.8,1700,1h 29m
Kinds of Kindness,Dark Comedy,6.4,72000,2h 44m
Friendship,Dark Comedy,6.6,40000,1h 40m
It's What's Inside,Dark Comedy,6.6,51000,1h 43m
The Luckiest Man in America,Dark Comedy,6.2,8200,1h 31m
Get Away,Dark Comedy,5.3,11000,1h 26m
Sketch,Dark Comedy,6.6,6200,1h 33m
Brothers,Dark Comedy,5.4,15000,1h 29m
Ketchup on Waffles,Dark Comedy,7.8,20,1h 21m
