Movie Name,Genre,Ratings,Votes,Duration
"Husband, Father, Killer: The Alyssa Pladl Story",Unknown,6.0,822,1h 27m
Afraid,Unknown,5.2,17000,1h 24m
River of Blood,Unknown,4.6,3100,1h 26m
What Happened to Dorothy Bell?,Unknown,5.2,236,1h 20m
Under Paris,Unknown,5.2,40000,1h 44m
Red One,Unknown,6.2,159000,2h 3m
Megalopolis,Unknown,4.7,42000,2h 18m
The Salt Path,Unknown,6.6,7000,1h 55m
Mean Girls,Unknown,5.5,41000,1h 52m
Fight or Flight,Unknown,6.4,27000,1h 42m
Horizon: An American Saga - Chapter 1,Unknown,6.6,45000,3h 1m
The Lord of the Rings: The War of the Rohirrim,Unknown,6.3,40000,2h 14m
The 4:30 Movie,Unknown,6.0,4700,1h 27m
A Different Man,Unknown,6.9,38000,1h 52m
Borderlands,Unknown,4.7,58000,1h 41m
Homestead,Unknown,5.2,5400,1h 52m
Presence,Unknown,6.1,43000,1h 24m
The Strangers: Chapter 1,Unknown,4.7,29000,1h 31m
Sleeping Dogs,Unknown,6.2,27000,1h 50m
Lick,Unknown,6.1,1400,1h 15m
The Assessment,Unknown,6.6,23000,1h 54m
Terrifier 3,Unknown,6.2,63000,2h 5m
Thelma,Unknown,7.0,29000,1h 38m
Kneecap,Unknown,7.6,25000,1h 45m
All of You,Unknown,6.3,9500,1h 38m
The Penguin Lessons,Unknown,7.1,12000,1h 51m
Miller's Girl,Unknown,5.2,27000,1h 33m
Tarot,Unknown,4.8,39000,1h 32m
Vaazha: Biopic of a Billion Boys,Unknown,7.3,6400,2h 5m
Survive,Unknown,4.6,4700,1h 30m
Monkey Man,Unknown,6.8,100000,2h 1m
Mahavatar Narsimha,Unknown,8.5,47000,2h 10m
Cuckoo,Unknown,5.7,34000,1h 42m
Kishkindha Kaandam,Unknown,8.0,16000,2h 13m
The Return,Unknown,6.3,14000,1h 56m
Shell,Unknown,4.9,4100,1h 40m
