Movie Name,Genre,Ratings,Votes,Duration
Gladiator II,Action Epic,6.4,297000,2h 28m
Dune: Part Two,Action Epic,8.4,742000,2h 46m
The Life of Chuck,Psychological Drama,7.3,70000,1h 51m
Oddity,Folk Horror,6.7,58000,1h 38m
The Substance,Body Horror,7.2,422000,2h 21m
The Ministry of Ungentlemanly Warfare,Quest,6.8,158000,2h 2m
The Fall Guy,Romantic Comedy,6.8,263000,2h 6m
Juror #2,Legal Drama,7.0,125000,1h 54m
Trap,Psychological Horror,5.8,165000,1h 45m
Small Things Like These,Period Drama,6.7,38000,1h 38m
Anora,Dark Comedy,7.4,274000,2h 19m
Heresy,Dutch,6.4,738,1h 1m
Despicable Me 4,Computer Animation,6.2,79000,1h 34m
Deadpool & Wolverine,Action Epic,7.5,568000,2h 8m
The Killer,Martial Arts,5.7,18000,2h 6m
Carry-On,Conspiracy Thriller,6.5,194000,1h 59m
Eden,Psychological Thriller,6.5,44000,2h 9m
Speak No Evil,Psychological Drama,6.8,135000,1h 50m
The Wild Robot,Animal Adventure,8.2,223000,1h 42m
Relay,Conspiracy Thriller,7.0,36000,1h 52m
Shelby Oaks,B-Horror,5.3,13000,1h 31m
Stream,B-Horror,5.7,11000,2h 3m
Heretic,Psychological Horror,7.0,225000,1h 51m
Civil War,Political Drama,7.0,268000,1h 49m
The Idea of You,Feel-Good Romance,6.3,85000,1h 55m
Alien: Romulus,Alien Invasion,7.1,287000,1h 59m
Twisters,Disaster,6.5,195000,2h 2m
We Bury the Dead,Monster Horror,5.6,12000,1h 34m
The Beekeeper,Conspiracy Thriller,6.3,180000,1h 45m
Longlegs,Body Horror,6.5,224000,1h 41m
The Count of Monte Cristo,French,7.6,48000,2h 58m
Babygirl,Erotic Thriller,5.7,81000,1h 54m
It Ends with Us,Drama,6.3,101000,2h 10m
Nosferatu,Dark Fantasy,7.1,266000,2h 12m
Road House,Action Epic,6.2,185000,2h 1m
Furiosa: A Mad Max Saga,Action Epic,7.5,320000,2h 28m
Bone Lake,Dark Comedy,5.6,14000,1h 34m
Abigail,Dark Comedy,6.5,119000,1h 49m
Godzilla X Kong: The New Empire,Action Epic,6.0,135000,1h 55m
A Complete Unknown,Docudrama,7.3,117000,2h 21m
The Brutalist,Epic,7.2,139000,3h 36m
Challengers,Psychological Drama,7.0,178000,2h 11m
Smile 2,Body Horror,6.7,142000,2h 7m
A Real Pain,Buddy Comedy,7.0,143000,1h 30m
Wicked,Fairy Tale,7.3,231000,2h 40m
Joker: Folie à Deux,Jukebox Musical,5.2,183000,2h 18m
Beetlejuice Beetlejuice,Body Horror,6.6,174000,1h 45m
Kraven the Hunter,Globetrotting Adventure,5.5,82000,2h 7m
Venom: The Last Dance,Alien Invasion,6.0,156000,1h 50m
Blink Twice,Psychological Thriller,6.5,130000,1h 42m
Krazy House,Dark Comedy,4.8,1700,1h 29m
Kinds of Kindness,Dark Comedy,6.4,72000,2h 44m
Argylle,Spy,5.6,100000,2h 19m
Subservience,Artificial Intelligence,5.4,36000,1h 46m
Sonic the Hedgehog 3,Animal Adventure,6.9,80000,1h 50m
Wolfs,Buddy Cop,6.5,104000,1h 48m
Conclave,Conspiracy Thriller,7.4,261000,2h
The Order,Heist,6.8,62000,1h 56m
MaXXXine,Serial Killer,6.2,87000,1h 43m
IF,Computer Animation,6.4,67000,1h 44m
Inside Out 2,Coming-of-Age,7.5,250000,1h 36m
Attack on Titan: The Last Attack,Japanese,9.0,28000,2h 25m
A Quiet Place: Day One,Alien Invasion,6.3,176000,1h 39m
Ordinary Angels,Biography,7.4,20000,1h 58m
2073,Documentary,5.1,4400,1h 25m
Lucky Baskhar,Telugu,8.0,42000,2h 28m
I'm Still Here,Portuguese,8.1,150000,2h 17m
Moana 2,Computer Animation,6.3,125000,1h 40m
Freaky Tales,Action,6.2,18000,1h 47m
The Watchers,Folk Horror,5.7,70000,1h 42m
Caddo Lake,Time Travel,6.8,55000,1h 43m
Land of Bad,Martial Arts,6.6,59000,1h 53m
Rebel Ridge,One-Person Army Action,6.8,103000,2h 11m
We Live in Time,Feel-Good Romance,7.0,72000,1h 48m
Flow,Animal Adventure,7.8,129000,1h 25m
Transformers One,Action Epic,7.6,65000,1h 44m
Bad Boys: Ride or Die,Action Epic,6.5,114000,1h 55m
Strange Harvest,Body Horror,6.3,6300,1h 34m
Maharaja,Tamil,8.3,82000,2h 21m
The Outrun,Psychological Drama,6.9,22000,1h 58m
I Saw the TV Glow,Body Horror,5.8,45000,1h 40m
Your Fault,Spanish,5.3,19000,1h 58m
Kung Fu Panda 4,Animal Adventure,6.3,82000,1h 34m
Tell Me What You Want,Spanish,4.1,2500,1h 54m
Friendship,Dark Comedy,6.6,40000,1h 40m
The Body,Italian,6.3,864,1h 56m
Don't Move,Psychological Horror,5.8,46000,1h 32m
Madame Web,Superhero,4.1,115000,1h 56m
Better Man,Adult Animation,7.5,46000,2h 15m
The Apprentice,Docudrama,7.1,73000,2h 2m
Never Let Go,Supernatural Horror,5.4,19000,1h 41m
The First Omen,Body Horror,6.5,71000,1h 59m
Kingdom of the Planet of the Apes,Action Epic,6.8,169000,2h 25m
MadS,French,6.3,12000,1h 29m
The Instigators,Buddy Comedy,6.2,44000,1h 41m
Love Lies Bleeding,Dark Romance,6.6,64000,1h 44m
Ghostbusters: Frozen Empire,Supernatural Fantasy,6.1,106000,1h 55m
Parthenope,Italian,6.5,21000,2h 17m
Damsel,Adult Animation,6.1,119000,1h 50m
Mufasa: The Lion King,Animal Adventure,6.6,82000,1h 58m
Mothers' Instinct,Psychological Thriller,6.3,24000,1h 34m
Mistura,Spanish,8.1,710,1h 37m
Spaceman,Adult Animation,5.7,47000,1h 47m
It's What's Inside,Dark Comedy,6.6,51000,1h 43m
Queer,Period Drama,6.3,30000,2h 17m
Harold and the Purple Crayon,Computer Animation,5.7,10000,1h 30m
Fly Me to the Moon,Romantic Comedy,6.6,59000,2h 12m
On Swift Horses,Period Drama,6.0,6300,1h 59m
Immaculate,Body Horror,5.8,61000,1h 29m
I Was a Stranger,Arabic,8.3,12000,1h 43m
Saturday Night,Docudrama,6.8,39000,1h 49m
Exhuma,Korean,6.9,29000,2h 14m
"Husband, Father, Killer: The Alyssa Pladl Story",Unknown,6.0,822,1h 27m
Afraid,Unknown,5.2,17000,1h 24m
River of Blood,Unknown,4.6,3100,1h 26m
What Happened to Dorothy Bell?,Unknown,5.2,236,1h 20m
Under Paris,Unknown,5.2,40000,1h 44m
Red One,Unknown,6.2,159000,2h 3m
Megalopolis,Unknown,4.7,42000,2h 18m
The Salt Path,Unknown,6.6,7000,1h 55m
Mean Girls,Unknown,5.5,41000,1h 52m
Fight or Flight,Unknown,6.4,27000,1h 42m
Horizon: An American Saga - Chapter 1,Unknown,6.6,45000,3h 1m
The Lord of the Rings: The War of the Rohirrim,Unknown,6.3,40000,2h 14m
The 4:30 Movie,Unknown,6.0,4700,1h 27m
A Different Man,Unknown,6.9,38000,1h 52m
Borderlands,Unknown,4.7,58000,1h 41m
Homestead,Unknown,5.2,5400,1h 52m
Presence,Unknown,6.1,43000,1h 24m
The Strangers: Chapter 1,Unknown,4.7,29000,1h 31m
Sleeping Dogs,Unknown,6.2,27000,1h 50m
Lick,Unknown,6.1,1400,1h 15m
The Assessment,Unknown,6.6,23000,1h 54m
Terrifier 3,Unknown,6.2,63000,2h 5m
Thelma,Unknown,7.0,29000,1h 38m
Kneecap,Unknown,7.6,25000,1h 45m
All of You,Unknown,6.3,9500,1h 38m
The Penguin Lessons,Unknown,7.1,12000,1h 51m
Miller's Girl,Unknown,5.2,27000,1h 33m
Tarot,Unknown,4.8,39000,1h 32m
Vaazha: Biopic of a Billion Boys,Unknown,7.3,6400,2h 5m
Survive,Unknown,4.6,4700,1h 30m
Monkey Man,Unknown,6.8,100000,2h 1m
Mahavatar Narsimha,Unknown,8.5,47000,2h 10m
Cuckoo,Unknown,5.7,34000,1h 42m
Kishkindha Kaandam,Unknown,8.0,16000,2h 13m
The Return,Unknown,6.3,14000,1h 56m
Shell,Unknown,4.9,4100,1h 40m
Elevation,Alien Invasion,5.6,31000,1h 31m
The Union,Buddy Comedy,5.5,58000,1h 47m
Snack Shack,Buddy Comedy,7.0,17000,1h 52m
Horizon: An American Saga - Chapter 2,Western Epic,7.0,1800,3h 10m
Here,Coming-of-Age,6.3,28000,1h 44m
Paddington in Peru,Animal Adventure,6.6,35000,1h 46m
Lift,Heist,5.6,53000,1h 47m
Ricky Stanicky,Raunchy Comedy,6.2,62000,1h 53m
Arthur the King,Extreme Sport,7.0,39000,1h 47m
The Killer's Game,Martial Arts,5.8,21000,1h 44m
Irish Wish,Romantic Comedy,5.3,23000,1h 33m
Salem's Lot,Supernatural Horror,5.6,41000,1h 54m
The Luckiest Man in America,Dark Comedy,6.2,8200,1h 31m
A Family Affair,Romantic Comedy,5.4,40000,1h 51m
Salt Along the Tongue,Drama,5.3,72,1h 53m
Upgraded,Romantic Comedy,6.1,33000,1h 44m
Bob Marley: One Love,Docudrama,6.2,39000,1h 47m
Mon Potongo,Bengali,4.8,1000,2h 29m
Memoir of a Snail,Adult Animation,7.8,25000,1h 35m
My Old Ass,Coming-of-Age,6.9,47000,1h 29m
Emmanuelle,Steamy Romance,4.1,3200,1h 47m
Get Away,Dark Comedy,5.3,11000,1h 26m
Manjummel Boys,Malayalam,8.2,34000,2h 15m
The Room Next Door,Psychological Drama,6.8,28000,1h 47m
The Six Triple Eight,Period Drama,6.7,32000,2h 7m
The Girl with the Needle,Danish,7.5,20000,2h 3m
Unfrosted,Farce,5.5,37000,1h 37m
Atlas,Action Epic,5.7,60000,1h 58m
September 5,Docudrama,7.1,37000,1h 35m
Young Hearts,Dutch,7.9,8800,1h 39m
Nr. 24,Norwegian,7.5,20000,1h 51m
Rabb Da Radio 3,Punjabi,9.2,1600,1h 59m
Empire Waist,Comedy,6.3,650,1h 37m
The Garfield Movie,Animal Adventure,5.7,28000,1h 41m
Turtles All the Way Down,Coming-of-Age,6.6,8900,1h 51m
King Ivory,Drug Crime,6.2,1800,2h 10m
Riff Raff,B-Action,5.7,8900,1h 43m
Big World,Mandarin,7.6,2700,2h 11m
Emilia Pérez,Spanish,5.3,115000,2h 12m
The Friend,Comedy,6.4,7400,1h 59m
Mr. K,Psychological Drama,5.4,2200,1h 34m
Hunting Matthew Nichols,B-Horror,5.6,767,1h 29m
The Seed of the Sacred Fig,Persian,7.5,20000,2h 47m
Kalki 2898 AD,Telugu,7.0,76000,3h
Pushpa: The Rule - Part 2,Telugu,6.1,67000,3h 21m
Sketch,Dark Comedy,6.6,6200,1h 33m
Nightbitch,Body Horror,5.5,25000,1h 39m
Monkey's Magic Merry Go Round,Horror,7.6,26,1h 31m
The Crow,Dark Fantasy,4.7,41000,1h 51m
Doin' It,Comedy,4.6,523,1h 32m
Back to Black,Docudrama,6.3,31000,2h 2m
In a Violent Nature,Body Horror,5.5,31000,1h 34m
The Forge,Coming-of-Age,6.8,6100,2h 4m
Touch,Period Drama,7.4,7300,2h 1m
Night Swim,Supernatural Horror,4.7,32000,1h 38m
Look Back,Japanese,7.8,22000,58m
The Unholy Trinity,Action,5.5,6800,1h 35m
He's Watching You,Slasher Horror,4.6,470,1h 42m
Bird,Coming-of-Age,7.0,13000,1h 59m
Ghost Trail,Arabic,6.6,1400,1h 46m
Rebel Moon - Part Two: The Scargiver,Action Epic,5.3,64000,2h 2m
Azrael,Folk Horror,5.3,14000,1h 26m
Milk & Serial,B-Horror,6.6,3600,1h 2m
Unstoppable,Docudrama,6.8,5400,1h 56m
Dreams,Norwegian,7.2,3500,1h 50m
The Rule of Jenny Pen,Psychological Horror,6.1,11000,1h 44m
Sidelined: The QB and Me,Teen Romance,5.7,6200,1h 39m
Reagan,Docudrama,6.2,13000,2h 21m
How to Make Millions Before Grandma Dies,Thai,7.9,22000,2h 5m
Sew Torn,Comedy,6.0,3200,1h 40m
40 Acres,Action,6.5,7000,1h 53m
Y2K,Artificial Intelligence,4.7,21000,1h 31m
The End,Dystopian Sci-Fi,5.4,3300,2h 28m
Arcadian,Folk Horror,5.5,28000,1h 32m
Force of Nature,Cop Drama,5.9,9700,2h
Suncoast,Coming-of-Age,6.7,8300,1h 49m
Apartment 7A,Folk Horror,5.9,21000,1h 47m
Frewaka,Body Horror,6.1,3200,1h 43m
The Last Showgirl,Showbiz Drama,6.5,22000,1h 28m
The Damned,Body Horror,5.7,9000,1h 29m
Rob Peace,Biography,6.6,3000,2h
The Deliverance,Psychological Thriller,5.1,25000,1h 52m
Rust,Drama,5.8,5100,2h 19m
The Fix,Action,4.7,2400,1h 38m
Blitz,Period Drama,6.2,19000,2h
Winter Spring Summer or Fall,Coming-of-Age,6.1,6000,1h 37m
The Shrouds,Body Horror,5.7,9100,2h
Drive-Away Dolls,Buddy Comedy,5.4,28000,1h 24m
Incoming,Raunchy Comedy,5.8,17000,1h 31m
Uglies,Adult Animation,4.7,37000,1h 40m
No Other Land,Arabic,8.2,37000,1h 32m
A Nice Indian Boy,Feel-Good Romance,7.3,7900,1h 36m
The Master and Margarita,Russian,7.1,6900,2h 36m
Role Play,Dark Romance,5.5,21000,1h 40m
Maria,Period Drama,6.4,25000,2h 4m
Bramayugam,Malayalam,7.7,18000,2h 19m
Sting,B-Horror,5.7,19000,1h 31m
Beverly Hills Cop: Axel F,Buddy Comedy,6.4,87000,1h 58m
Damaged,Serial Killer,4.7,9300,1h 37m
Magpie,Psychological Thriller,6.3,5000,1h 30m
Solo Leveling: ReAwakening,Japanese,8.7,17000,2h 1m
Joy,Medical Drama,7.1,12000,1h 55m
Unsung Hero,Biography,7.0,5900,1h 53m
Apocalypse Z: The Beginning of the End,Spanish,6.1,24000,1h 57m
Brothers,Dark Comedy,5.4,15000,1h 29m
Killer Heat,Psychological Drama,5.6,16000,1h 35m
Hellboy: The Crooked Man,Body Horror,4.5,18000,1h 39m
Sacramento,Buddy Comedy,5.9,4100,1h 29m
Drugstore June,Whodunnit,5.4,2300,1h 31m
Spermageddon,Norwegian,5.4,3900,1h 20m
Jackpot!,Buddy Comedy,5.8,35000,1h 46m
Old Guy,Buddy Comedy,5.3,6200,1h 34m
Ketchup on Waffles,Dark Comedy,7.8,20,1h 21m
The Surfer,Psychological Thriller,5.9,20000,1h 40m
Marmalade,Dark Romance,6.3,4600,1h 39m
Girls Will Be Girls,Coming-of-Age,7.0,3500,1h 58m
The Wonderful Story of Henry Sugar and Three More,Quirky Comedy,7.1,13000,1h 28m
Young Woman and the Sea,Water Sport,7.5,20000,2h 9m
Wallace & Gromit: Vengeance Most Fowl,Animal Adventure,7.5,42000,1h 22m
